player_name,player_id,player_position,minutes_played,attempted_shots,shots_on_goal,goals,assists,total_passes,key_passes,pass_completion,saves,tackles,blocks,interceptions,conceded_goals,total_duels,won_duels,attempted_dribbles,successful_dribbles,cards,rating,league
J. Mihalík,55951,Midfielder,32.86363636363637,0.0,0.0,0.045454545454545456,0.0,1.8636363636363638,0.045454545454545456,1.4090909090909092,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.40909090909090906,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.9136363636363637,Czech Liga
Miroslav Stoch,1244,Midfielder,49.090909090909086,0.09090909090909091,0.0,0.0,0.0,1.7272727272727273,0.0,14.363636363636363,0.0,0.0,0.0,0.09090909090909091,0.0,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.2727272727272727,1.1727272727272728,Ekstraklasa
M. Hamšík,12994,Midfielder,89.46428571428571,1.1428571428571428,0.5,0.21428571428571427,0.07142857142857142,66.67857142857143,2.2857142857142856,73.5,0.0,0.9285714285714286,0.0,0.3214285714285714,0.0,4.25,2.25,0.75,0.5357142857142857,0.21428571428571427,7.325324428571429,Super League
N. Gyömbér,31389,Defender,86.02272727272727,0.11363636363636363,0.0,0.0,0.0,28.886363636363633,0.11363636363636365,23.641528925619838,0.0,1.3409090909090908,0.8636363636363636,1.4318181818181817,0.0,6.590909090909091,3.909090909090909,0.18181818181818182,0.1590909090909091,0.2272727272727273,6.870350526859505,Serie B
P. Šafranko,45116,Attacker,65.80952380952381,0.047619047619047616,0.023809523809523808,0.21428571428571427,0.0,0.5238095238095238,0.023809523809523808,5.095238095238095,0.0,0.16666666666666666,0.0,0.023809523809523808,0.0,0.7142857142857142,0.38095238095238093,0.023809523809523808,0.0,0.07142857142857142,1.1293650476190475,Liga I
L. Haraslín,40446,Midfielder,33.9,0.6666666666666667,0.39999999999999997,0.03333333333333333,0.0,9.9,0.36666666666666664,21.7,0.0,0.8333333333333333,0.0,0.4666666666666667,0.0,5.066666666666666,2.9666666666666663,1.3,0.4666666666666667,0.13333333333333333,6.572916466666666,Serie A
P. Pekarík,25343,Defender,76.825,0.3,0.2,0.1,0.05,35.125,0.5249999999999999,30.7525,0.0,0.95,0.25,1.1,0.0,4.675,2.525,0.375,0.2,0.17500000000000002,6.66562464,Bundesliga
J. Hromada,70483,Midfielder,58.04444444444445,0.044444444444444446,0.0,0.08888888888888889,0.0,4.955555555555556,0.044444444444444446,5.558637037037037,0.0,0.3555555555555555,0.022222222222222223,0.33333333333333337,0.0,1.6666666666666667,0.8444444444444444,0.26666666666666666,0.06666666666666667,0.17777777777777778,2.929457777777778,Czech Liga
V. Weiss,42316,Midfielder,51.142857142857146,0.03571428571428571,0.0,0.17857142857142855,0.03571428571428571,4.642857142857143,0.10714285714285714,4.767362557267805,0.0,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.0,0.9285714285714286,0.3214285714285714,0.2857142857142857,0.17857142857142858,0.24999999999999994,2.0185836567055393,Super Liga
M. Ďuriš,15414,Attacker,45.3125,0.3125,0.14583333333333331,0.08333333333333333,0.0,3.270833333333333,0.0625,8.916666666666666,0.0,0.16666666666666666,0.041666666666666664,0.0625,0.0,2.7708333333333335,1.0416666666666667,0.25,0.125,0.14583333333333331,2.799702229166667,1. Division
R. Mak,1213,Attacker,42.37837837837837,0.2702702702702703,0.1891891891891892,0.08108108108108109,0.02702702702702703,9.18918918918919,0.5405405405405406,8.216216216216216,0.0,0.08108108108108109,0.0,0.16216216216216217,0.0,1.9729729729729728,0.8378378378378379,0.9189189189189191,0.43243243243243246,0.05405405405405406,3.1351351081081082,NB I
T. Hubočan,1903,Defender,83.375,0.05,0.0,0.0,0.025,11.95,0.1,12.025,0.0,0.575,0.19999999999999998,0.625,0.0,2.4750000000000005,1.4249999999999998,0.125,0.07500000000000001,0.225,2.6075,1. Division
J. Kucka,31023,Midfielder,81.51162790697673,1.6046511627906974,0.5813953488372093,0.16279069767441862,0.046511627906976744,32.74418604651163,0.6046511627906977,24.232558139534884,0.0,2.2325581395348837,0.13953488372093023,0.9767441860465117,0.0,16.116279069767444,8.744186046511627,1.9767441860465118,1.0465116279069768,0.3023255813953488,6.895348534883722,Serie A
R. Mazáň,31361,Defender,81.48,0.0,0.0,0.0,0.0,6.08,0.0,3.72,0.0,0.16,0.0,0.08,0.0,1.04,0.56,0.16,0.08,0.2,0.786,Czech Liga
D. Hancko,30399,Defender,81.50000000000001,0.3055555555555556,0.16666666666666669,0.19444444444444448,0.027777777777777776,11.11111111111111,0.16666666666666666,8.833333333333332,0.0,0.5277777777777778,0.05555555555555555,0.4444444444444444,0.0,2.2777777777777777,1.361111111111111,0.3888888888888889,0.16666666666666666,0.08333333333333333,1.9444443333333334,Czech Liga
M. Koscelník,66044,Defender,76.68627450980394,0.11764705882352941,0.0196078431372549,0.0392156862745098,0.0196078431372549,7.647058823529412,0.1568627450980392,5.745098039215685,0.0,0.5294117647058825,0.058823529411764705,0.4509803921568627,0.0,3.215686274509804,1.607843137254902,0.37254901960784315,0.1568627450980392,0.0784313725490196,2.6303920392156863,Czech Liga
A. Rusnák,51212,Midfielder,74.32352941176471,1.147058823529412,0.5294117647058824,0.17647058823529413,0.11764705882352941,29.205882352941174,1.4411764705882353,50.0,0.0,0.5294117647058824,0.0,0.3529411764705882,0.0,5.0,2.235294117647059,1.2352941176470589,0.7058823529411764,0.029411764705882353,7.020220470588235,Major League Soccer
