player_name,player_position,minutes_played,attempted_shots,shots_on_goal,goals,assists,total_passes,key_passes,pass_completion,saves,tackles,blocks,interceptions,conceded_goals,total_duels,won_duels,attempted_dribbles,successful_dribbles,cards,rating
N. Vidmar,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rene Krhin,Midfielder,65.33333333333333,0.13333333333333333,0.0,0.0,0.0,22.333333333333336,0.13333333333333333,48.53333333333333,0.0,0.5333333333333333,0.2,1.2666666666666666,0.0,2.7333333333333334,1.6666666666666667,0.5333333333333333,0.3333333333333333,0.0,6.706666533333333
Roman Bezjak,Attacker,47.69230769230769,0.2692307692307693,0.15384615384615385,0.038461538461538464,0.038461538461538464,4.769230769230769,0.38461538461538464,16.189349112426036,0.0,0.42307692307692313,0.07692307692307693,0.19230769230769232,0.0,1.7692307692307692,0.4230769230769231,0.23076923076923078,0.11538461538461539,5.038461538461538,5.114570485207101
M. Mevlja,Defender,89.44642857142857,0.21428571428571425,0.08928571428571427,0.07142857142857142,0.0,42.267857142857146,0.08928571428571427,50.57955994897959,0.0,0.75,0.5357142857142857,1.125,0.0,5.517857142857143,3.321428571428571,0.2321428571428571,0.125,7.0,6.824638741629465
Bojan Jokić,Defender,80.66666666666667,0.15151515151515152,0.06060606060606061,0.030303030303030304,0.030303030303030304,35.151515151515156,0.5757575757575758,40.97520661157024,0.0,0.7878787878787878,0.21212121212121213,1.4545454545454546,0.0,5.03030303030303,2.515151515151515,0.2727272727272727,0.18181818181818182,11.030303030303031,6.566391123966943
Andraž Struna,Defender,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H. Vučkić,Attacker,40.4,0.5333333333333333,0.3,0.16666666666666666,0.0,8.066666666666666,0.3666666666666667,8.545185185185185,0.0,0.13333333333333333,0.06666666666666667,0.2,0.0,3.5333333333333337,1.3333333333333335,0.3,0.13333333333333333,1.0,6.399042590518519
A. Struna,Defender,85.0,0.19230769230769232,0.038461538461538464,0.038461538461538464,0.0,41.57692307692308,0.07692307692307693,67.38461538461539,0.0,0.46153846153846156,1.0,0.923076923076923,0.0,4.038461538461538,1.8461538461538463,0.038461538461538464,0.0,9.0,6.824759346153847
J. Gorenc Stankovič,Midfielder,81.25,0.5,0.125,0.1,0.05,34.050000000000004,0.375,26.51546875,0.0,1.05,0.775,1.125,0.0,9.85,6.1,0.5,0.25,11.0,6.7598747117187505
R. Rep,Midfielder,75.73684210526316,1.131578947368421,0.631578947368421,0.21052631578947367,0.13157894736842105,23.026315789473685,0.8947368421052632,18.717503217763102,0.0,0.5263157894736842,0.02631578947368421,0.3157894736842105,0.0,6.078947368421053,2.5789473684210527,0.868421052631579,0.4473684210526315,9.0,6.604395404012496
T. Matavž,Attacker,79.54545454545455,0.13636363636363635,0.045454545454545456,0.5909090909090908,0.045454545454545456,0.6363636363636364,0.09090909090909091,3.659090909090909,0.0,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.38966942148760325
V. Belec,Goalkeeper,90.0,0.0,0.0,0.0,0.02564102564102564,21.23076923076923,0.02564102564102564,12.68726714880561,2.923076923076923,0.0,0.0,0.02564102564102564,0.8461538461538461,0.20512820512820512,0.1794871794871795,0.0,0.0,3.0,6.996520394409886
J. Kurtić,Midfielder,83.8360655737705,0.9508196721311475,0.2459016393442623,0.0819672131147541,0.01639344262295082,44.83606557377048,0.5901639344262295,47.37301800591239,0.0,1.2950819672131146,0.06557377049180328,0.9836065573770492,0.0,7.77049180327869,4.049180327868853,0.4754098360655738,0.39344262295081966,13.0,6.851948163934426
R. Berić,Attacker,71.89655172413794,1.8620689655172413,1.0689655172413792,0.41379310344827586,0.06896551724137931,14.724137931034482,0.7241379310344828,41.6551724137931,0.0,0.41379310344827586,0.034482758620689655,0.20689655172413793,0.0,7.310344827586207,3.068965517241379,0.7586206896551725,0.37931034482758624,1.0,6.907491586206897
A. Šporar,Attacker,48.01612903225807,1.0806451612903225,0.5483870967741935,0.16129032258064516,0.0967741935483871,8.274193548387096,0.5161290322580645,14.132681196169596,0.0,0.16129032258064513,0.0,0.06451612903225806,0.0,5.016129032258065,2.467741935483871,0.6451612903225806,0.25806451612903225,3.0,6.316699098499288
B. Verbič,Midfielder,54.23684210526316,0.6578947368421053,0.2631578947368421,0.13157894736842105,0.0,9.394736842105264,0.2894736842105263,21.12465373961219,0.0,0.39473684210526316,0.02631578947368421,0.18421052631578946,0.0,3.9210526315789473,1.6315789473684212,1.1578947368421053,0.4736842105263158,3.0,4.288573407202216
A. Gnezda Čerin,Midfielder,78.43181818181819,0.29545454545454547,0.1590909090909091,0.045454545454545456,0.045454545454545456,20.68181818181818,0.3181818181818182,40.846755259203604,0.0,0.6363636363636364,0.0,0.4318181818181818,0.0,2.9318181818181817,1.25,0.20454545454545453,0.11363636363636365,10.0,6.6748609237223375
J. Bijol,Defender,65.23214285714285,0.2321428571428571,0.03571428571428571,0.0,0.0,19.589285714285715,0.1964285714285714,40.594387755102034,0.0,0.7142857142857142,0.10714285714285712,0.5714285714285714,0.0,3.785714285714285,2.1607142857142856,0.10714285714285714,0.07142857142857142,12.0,6.797204149234694
