player_name,player_position,minutes_played,attempted_shots,shots_on_goal,goals,assists,total_passes,key_passes,pass_completion,saves,tackles,blocks,interceptions,conceded_goals,total_duels,won_duels,attempted_dribbles,successful_dribbles,cards,rating
Y. Konoplanka,Attacker,58.0,0.8636363636363636,0.2954545454545454,0.25,0.022727272727272728,8.795454545454545,0.4318181818181819,64.24765160764292,0.0,0.022727272727272728,0.0,0.3181818181818182,0.0,3.5227272727272725,1.4545454545454546,1.0909090909090908,0.5454545454545454,5.0,6.431036611655624
T. Stepanenko,Midfielder,73.78571428571428,0.14285714285714285,0.05357142857142857,0.10714285714285714,0.0,6.660714285714286,0.05357142857142857,22.451680289462722,0.0,0.05357142857142857,0.017857142857142856,0.3035714285714286,0.0,1.1071428571428572,0.6785714285714286,0.017857142857142856,0.017857142857142856,13.0,2.390166206788838
S. Sydorchuk,Midfielder,70.42857142857143,0.16326530612244897,0.061224489795918366,0.14285714285714285,0.0,4.061224489795919,0.04081632653061224,13.163843296585604,0.0,0.12244897959183673,0.02040816326530612,0.16326530612244897,0.0,1.2653061224489797,0.5918367346938775,0.20408163265306123,0.14285714285714285,14.0,1.8281213609975433
O. Zinchenko,Defender,45.999999999999986,0.6764705882352942,0.2058823529411765,0.029411764705882353,0.08823529411764706,15.441176470588232,0.7647058823529412,55.40378724551756,0.0,0.058823529411764705,0.029411764705882353,0.38235294117647056,0.0,3.4411764705882355,1.3823529411764706,0.8529411764705883,0.44117647058823534,0.0,4.525924255764428
V. Kovalenko,Midfielder,63.90697674418604,0.18604651162790697,0.11627906976744186,0.23255813953488375,0.0,4.697674418604651,0.11627906976744186,18.310438074634938,0.0,0.046511627906976744,0.0,0.09302325581395349,0.0,1.302325581395349,0.4418604651162791,0.11627906976744186,0.046511627906976744,3.0,1.4265108732564429
S. Rybalka,Midfielder,68.19512195121952,0.17073170731707318,0.024390243902439025,0.024390243902439025,0.024390243902439025,7.0,0.14634146341463414,12.45904731504186,0.0,0.0,0.0,0.14634146341463414,0.0,1.0975609756097562,0.4634146341463415,0.0975609756097561,0.024390243902439025,6.0,1.016772826859738
P. Budkivskyi,Attacker,55.91428571428572,0.6285714285714286,0.3142857142857143,0.17142857142857143,0.0,7.942857142857143,0.4857142857142857,65.39356268221574,0.0,0.0,0.0,0.2857142857142857,0.0,4.942857142857143,1.8,0.22857142857142856,0.0,7.0,6.556785116711371
D. Boiko,Goalkeeper,90.0,0.0,0.0,0.0,0.0,7.857142857142858,0.0,62.08163265306122,1.4285714285714286,0.0,0.0,0.0,1.8571428571428572,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,5.822448795918367
O. Karavaiev,Midfielder,72.58823529411765,0.8529411764705882,0.08823529411764705,0.2058823529411765,0.0,8.352941176470587,0.3823529411764706,25.75383401286186,0.0,0.0,0.0,0.4117647058823529,0.0,4.147058823529411,1.7352941176470587,0.5,0.23529411764705882,2.0,2.36418576334483
A. Yarmolenko,Midfielder,83.07142857142856,0.23214285714285715,0.125,0.5178571428571428,0.03571428571428571,4.392857142857143,0.23214285714285712,13.668521091472304,0.0,0.05357142857142857,0.0,0.03571428571428571,0.0,1.5,0.6964285714285714,0.5714285714285714,0.26785714285714285,7.0,2.2176828212463557
Y. Rakitskyi,Defender,87.06818181818183,0.11363636363636363,0.09090909090909091,0.0,0.0,7.227272727272727,0.045454545454545456,25.003501511167272,0.0,0.0,0.0,0.34090909090909094,0.0,0.75,0.4772727272727273,0.11363636363636363,0.11363636363636363,11.0,2.8463648743255243
B. Butko,Defender,80.30000000000001,0.0,0.0,0.05,0.05,10.649999999999999,0.30000000000000004,16.120125,0.0,0.0,0.05,0.2,0.0,0.8,0.5,0.2,0.1,1.0,1.3282499396249998
D. Harmash,Midfielder,60.51219512195122,0.2682926829268293,0.0975609756097561,0.29268292682926833,0.0,3.170731707317073,0.04878048780487805,8.79476502082094,0.0,0.0,0.0,0.0,0.0,1.024390243902439,0.4634146341463415,0.17073170731707318,0.12195121951219512,13.0,1.5739411254044484
M. Shevchenko,Goalkeeper,90.0,0.0,0.0,0.0,0.0,29.6,0.0,32.0,2.4,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,1.0,2.62
