player_name,player_position,minutes_played,attempted_shots,shots_on_goal,goals,assists,total_passes,key_passes,pass_completion,saves,tackles,blocks,interceptions,conceded_goals,total_duels,won_duels,attempted_dribbles,successful_dribbles,cards,rating
S. Moharrami,Defender,70.39622641509435,0.05660377358490566,0.05660377358490566,0.018867924528301886,0.018867924528301886,14.566037735849056,0.3207547169811321,23.504187387308836,0.0,0.7547169811320755,0.09433962264150943,0.33962264150943394,0.0,3.3207547169811322,1.8867924528301885,0.5471698113207547,0.32075471698113206,9.0,6.083446109153547
S. Ghoddos,Attacker,32.0,0.16666666666666666,0.03333333333333333,0.0,0.0,6.8,0.3,7.985777777777779,0.0,0.3666666666666667,0.03333333333333333,0.2,0.0,1.6333333333333333,0.7333333333333333,0.1,0.0,2.0,5.7635550222222225
K. Ansarifard,Attacker,52.43859649122807,0.05263157894736842,0.03508771929824561,0.2631578947368421,0.0,0.8771929824561404,0.03508771929824561,0.732111904877614,0.0,0.017543859649122806,0.0,0.017543859649122806,0.0,0.5263157894736842,0.15789473684210525,0.08771929824561403,0.017543859649122806,6.0,0.9483047415399068
E. Hajisafi,Defender,80.9795918367347,0.2653061224489796,0.14285714285714285,0.02040816326530612,0.04081632653061224,24.755102040816325,0.7346938775510204,31.512357148147867,0.0,0.9183673469387755,0.02040816326530612,0.5510204081632654,0.0,3.163265306122449,1.9795918367346939,0.4693877551020408,0.20408163265306123,6.0,6.331545438331002
S. Khalilzadeh,Defender,85.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
R. Rezaeian,Defender,88.33333333333333,0.027777777777777776,0.027777777777777776,0.2222222222222222,0.0,2.138888888888889,0.08333333333333333,1.5987654320987652,0.0,0.19444444444444445,0.0,0.08333333333333333,0.0,0.7222222222222222,0.3333333333333333,0.027777777777777776,0.027777777777777776,7.0,0.4111111111111111
P. Niazmand,Goalkeeper,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
V. Amiri,Midfielder,77.65,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
M. Torabi,Midfielder,68.2051282051282,0.02564102564102564,0.0,0.20512820512820512,0.0,0.8974358974358975,0.07692307692307693,0.8211197086936732,0.0,0.02564102564102564,0.0,0.05128205128205128,0.0,0.15384615384615385,0.05128205128205128,0.05128205128205128,0.02564102564102564,4.0256410256410255,0.6112780053608456
M. Pouraliganji,Defender,84.44117647058822,0.029411764705882353,0.0,0.029411764705882353,0.0,3.7058823529411766,0.058823529411764705,3.1325055973946676,0.0,0.058823529411764705,0.08823529411764706,0.17647058823529413,0.0,0.7058823529411765,0.35294117647058826,0.0,0.0,6.0,0.7135151290453898
H. Kanani,Defender,87.75000000000001,0.0,0.0,0.1590909090909091,0.0,0.22727272727272727,0.0,0.23559588655146507,0.0,0.0,0.022727272727272728,0.022727272727272728,0.0,0.06818181818181818,0.022727272727272728,0.0,0.0,4.022727272727273,0.21203629789631856
A. Beiranvand,Goalkeeper,86.15217391304348,0.0,0.0,0.0,0.0,0.6086956521739131,0.0,0.771266540642722,0.08695652173913043,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,3.0217391304347827,0.30623818525519847
R. Cheshmi,Midfielder,79.0,0.03333333333333333,0.03333333333333333,0.1,0.0,0.36666666666666664,0.0,0.20666666666666667,0.0,0.0,0.03333333333333333,0.06666666666666667,0.0,0.1,0.03333333333333333,0.0,0.0,7.033333333333333,0.4822222222222222
A. Jalali,Defender,43.55555555555556,0.0,0.0,0.05555555555555555,0.0,1.1111111111111112,0.0,0.8641975308641974,0.0,0.0,0.0,0.0,0.0,0.5,0.2777777777777778,0.16666666666666666,0.05555555555555555,2.0,0.38888888888888884
H. Hosseini,Goalkeeper,87.52941176470587,0.0,0.0,0.029411764705882353,0.0,0.9117647058823529,0.0,0.2857724404640749,0.11764705882352941,0.0,0.0,0.0,0.17647058823529413,0.058823529411764705,0.029411764705882353,0.0,0.0,3.0,0.43580297170771415
S. Azmoun,Attacker,50.69811320754717,0.6037735849056604,0.33962264150943394,0.2830188679245283,0.07547169811320754,6.6415094339622645,0.4716981132075472,6.476917186670877,0.0,0.22641509433962265,0.0,0.05660377358490566,0.0,3.490566037735849,1.1886792452830188,0.41509433962264153,0.22641509433962265,4.0,6.127410940736311
A. Jahanbakhsh,Attacker,56.07692307692308,0.846153846153846,0.4461538461538462,0.24615384615384617,0.15384615384615385,14.661538461538463,0.8461538461538461,15.206454227793143,0.0,0.47692307692307695,0.03076923076923077,0.26153846153846155,0.0,4.138461538461538,1.876923076923077,1.1076923076923075,0.6153846153846154,9.0,6.36502219385058
A. Gholizadeh,Midfielder,57.586956521739125,0.4130434782608695,0.08695652173913043,0.08695652173913043,0.06521739130434782,12.91304347826087,0.6521739130434783,15.142751093283872,0.0,0.2608695652173913,0.0,0.17391304347826086,0.0,2.630434782608696,1.1956521739130435,1.2391304347826089,0.6521739130434783,0.0,5.737360354457881
M. Taremi,Attacker,76.10144927536233,1.4492753623188408,0.9130434782608695,0.5797101449275361,0.14492753623188406,14.942028985507246,1.0434782608695652,15.405144194459492,0.0,0.4782608695652174,0.028985507246376812,0.14492753623188406,0.0,5.956521739130435,2.884057971014493,1.0434782608695652,0.47826086956521735,11.0,6.3138202374070715
