match_nr,home/away,player_name,player_position,minutes_played,attempted_shots,shots_on_goal,goals,assists,total_passes,key_passes,pass_completion,saves,tackles,blocks,interceptions,conceded_goals,total_duels,won_duels,attempted_dribbles,successful_dribbles,cards,game_won,game_result,rating,id,team,season
0,home,Rui Patrício,G,90,0,0,0,0,14,0,56%,2,0,0,0,1,1,1,0,0,0,won,3-1,6.3,2674.0,Portugal,2018
0,home,Nélson Semedo,D,90,0,0,0,0,35,0,89%,0,2,1,0,0,13,7,1,1,0,won,3-1,6.7,130.0,Portugal,2018
0,home,Pepe,D,63,1,0,0,0,28,0,84%,0,1,0,1,0,9,7,2,1,0,won,3-1,6.9,373.0,Portugal,2018
0,home,Rúben Dias,D,90,1,0,0,0,43,0,86%,0,0,1,0,0,4,4,0,0,0,won,3-1,6.9,567.0,Portugal,2018
0,home,Raphaël Guerreiro,D,90,0,0,0,0,47,0,92%,0,0,0,2,0,4,2,1,0,0,won,3-1,6.6,8.0,Portugal,2018
0,home,Bruno Fernandes,M,89,1,0,0,0,37,3,82%,0,0,1,0,0,8,2,2,1,0,won,3-1,7.3,1485.0,Portugal,2018
0,home,Rúben Neves,M,90,1,0,0,0,42,0,84%,0,2,0,1,0,3,2,0,0,0,won,3-1,6.9,2676.0,Portugal,2018
0,home,William Carvalho,M,90,0,0,0,0,50,0,89%,0,0,0,0,0,7,1,3,1,0,won,3-1,6.3,1580.0,Portugal,2018
0,home,Bernardo Silva,M,90,0,0,0,1,32,4,84%,0,3,0,1,0,20,11,8,4,0,won,3-1,7.3,636.0,Portugal,2018
0,home,Cristiano Ronaldo,F,90,5,3,3,0,29,1,90%,0,0,0,0,0,10,5,3,3,0,won,3-1,10,874.0,Portugal,2018
0,home,João Félix,F,70,1,0,0,0,6,0,66%,0,0,0,0,0,7,2,1,0,0,won,3-1,6.2,583.0,Portugal,2018
0,home,José Fonte,D,27,0,0,0,0,16,0,94%,0,0,0,0,0,1,1,0,0,0,won,3-1,6.7,2675.0,Portugal,2018
0,home,João Moutinho,M,1,0,0,0,0,3,0,100%,0,0,0,0,0,1,1,0,0,0,won,3-1,–,2677.0,Portugal,2018
0,home,Gonçalo Guedes,M,20,0,0,0,1,14,1,93%,0,0,0,0,0,5,4,1,1,0,won,3-1,7.0,925.0,Portugal,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,3-1,0,,Portugal,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,3-1,0,,Portugal,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,3-1,0,,Portugal,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,3-1,0,,Portugal,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,3-1,0,,Portugal,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,3-1,0,,Portugal,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,3-1,0,,Portugal,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,3-1,0,,Portugal,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,3-1,0,,Portugal,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,3-1,0,,Portugal,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,3-1,0,,Portugal,2018
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,3-1,0,,Portugal,2018
0,away,Y. Sommer,G,90,0,0,0,0,28,0,87%,0,0,0,0,3,0,0,0,0,0,lost,3-1,5.3,2802.0,Switzerland,2018
0,away,F. Schär,D,90,1,0,0,0,40,0,90%,0,2,0,2,0,13,6,1,0,1,lost,3-1,6.2,2806.0,Switzerland,2018
0,away,M. Akanji,D,90,0,0,0,0,66,0,95%,0,1,0,1,0,3,2,0,0,0,lost,3-1,6.5,5.0,Switzerland,2018
0,away,R. Rodríguez,D,90,1,1,1,0,61,0,92%,0,3,0,0,0,5,5,0,0,0,lost,3-1,7.5,1631.0,Switzerland,2018
0,away,K. Mbabu,M,90,0,0,0,0,30,3,78%,0,1,0,0,0,5,3,0,0,0,lost,3-1,7.0,946.0,Switzerland,2018
0,away,D. Zakaria,M,71,0,0,0,0,20,2,80%,0,2,0,2,0,5,5,0,0,0,lost,3-1,7.2,2810.0,Switzerland,2018
0,away,G. Xhaka,M,90,0,0,0,0,81,2,92%,0,1,0,2,0,11,3,0,0,1,lost,3-1,6.2,1464.0,Switzerland,2018
0,away,R. Freuler,M,89,2,0,0,0,35,1,83%,0,3,0,0,0,12,7,0,0,0,lost,3-1,6.7,2807.0,Switzerland,2018
0,away,S. Zuber,M,83,2,0,0,0,36,2,76%,0,0,0,0,0,11,5,2,0,0,lost,3-1,6.9,2811.0,Switzerland,2018
0,away,X. Shaqiri,F,90,4,1,0,0,52,3,85%,0,0,0,0,0,11,1,4,1,1,lost,3-1,7.0,307.0,Switzerland,2018
0,away,H. Seferović,F,90,6,1,0,0,13,1,81%,0,0,0,0,0,10,4,0,0,0,lost,3-1,7.0,582.0,Switzerland,2018
0,away,R. Steffen,M,13,0,0,0,0,4,0,100%,0,0,0,0,0,2,1,0,0,0,lost,3-1,6.3,2809.0,Switzerland,2018
0,away,E. Fernandes,F,19,0,0,0,0,21,0,95%,0,0,0,1,0,4,1,1,0,0,lost,3-1,6.5,30405.0,Switzerland,2018
0,away,J. Drmić,F,1,0,0,0,0,0,0,0%,0,0,0,0,0,1,0,0,0,0,lost,3-1,–,25643.0,Switzerland,2018
0,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,3-1,0,,Switzerland,2018
0,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,3-1,0,,Switzerland,2018
0,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,3-1,0,,Switzerland,2018
0,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,3-1,0,,Switzerland,2018
0,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,3-1,0,,Switzerland,2018
0,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,3-1,0,,Switzerland,2018
0,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,3-1,0,,Switzerland,2018
0,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,3-1,0,,Switzerland,2018
0,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,3-1,0,,Switzerland,2018
0,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,3-1,0,,Switzerland,2018
