match_nr,home/away,player_name,player_position,minutes_played,attempted_shots,shots_on_goal,goals,assists,totat_passes,key_passes,pass_completion,saves,tackles,blocks,interceptions,conceded_goals,total_duels,won_duels,attempted_dribbles,successful_dribbles,cards,game_won,game_result,rating,id,team,season
0,home,M. Neuer,G,90,0,0,0,0,10,0,9,0,0,0,0,1,0,0,0,0,0,won,5-1,6.2,497.0,Germany,2024
0,home,J. Kimmich,D,90,0,0,0,1,78,4,72,0,1,0,0,0,6,1,1,0,0,won,5-1,7.5,502.0,Germany,2024
0,home,A. Rüdiger,D,90,1,1,0,0,91,0,85,0,1,0,0,0,4,2,0,0,0,won,5-1,7,2285.0,Germany,2024
0,home,J. Tah,D,90,0,0,0,0,93,1,91,0,0,0,0,0,5,3,0,0,1,won,5-1,6.9,972.0,Germany,2024
0,home,M. Mittelstädt,D,90,2,0,0,0,62,2,58,0,1,0,0,0,7,3,1,0,0,won,5-1,7.3,25342.0,Germany,2024
0,home,R. Andrich,M,45,0,0,0,0,28,0,25,0,1,0,0,0,6,1,0,0,1,won,5-1,6.3,24903.0,Germany,2024
0,home,T. Kroos,M,80,0,0,0,0,102,4,101,0,0,0,1,0,2,1,0,0,0,won,5-1,7.9,752.0,Germany,2024
0,home,J. Musiala,M,74,1,1,1,0,32,0,32,0,2,0,1,0,15,9,8,5,0,won,5-1,7.9,181812.0,Germany,2024
0,home,İ. Gündoğan,M,90,1,1,0,0,34,0,31,0,2,0,0,0,10,5,0,0,0,won,5-1,7.3,633.0,Germany,2024
0,home,F. Wirtz,M,63,3,1,1,0,31,0,29,0,0,0,0,0,5,2,2,1,0,won,5-1,7.3,203224.0,Germany,2024
0,home,K. Havertz,F,63,2,2,1,1,17,1,12,0,0,0,0,0,4,3,0,0,0,won,5-1,8,978.0,Germany,2024
0,home,P. Groß,M,45,0,0,0,0,67,0,65,0,1,0,0,0,4,2,0,0,0,won,5-1,7,18970.0,Germany,2024
0,home,L. Sané,M,27,3,2,0,0,15,0,13,0,0,0,0,0,4,0,4,0,0,won,5-1,6.7,644.0,Germany,2024
0,home,N. Füllkrug,F,27,1,1,1,0,3,1,3,0,0,0,0,0,1,1,0,0,0,won,5-1,7.2,25391.0,Germany,2024
0,home,T. Müller,F,16,0,0,0,1,9,1,7,0,0,0,0,0,0,0,0,0,0,won,5-1,6.9,522.0,Germany,2024
0,home,E. Can,M,10,1,1,1,0,11,0,10,0,1,0,0,0,2,1,0,0,0,won,5-1,7.5,864.0,Germany,2024
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,5-1,0,,Germany,2024
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,5-1,0,,Germany,2024
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,5-1,0,,Germany,2024
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,5-1,0,,Germany,2024
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,5-1,0,,Germany,2024
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,5-1,0,,Germany,2024
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,5-1,0,,Germany,2024
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,5-1,0,,Germany,2024
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,5-1,0,,Germany,2024
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,5-1,0,,Germany,2024
0,away,A. Gunn,G,90,0,0,0,0,25,0,12,5,0,0,0,5,0,0,0,0,0,lost,5-1,6.3,18933.0,Scotland,2024
0,away,A. Ralston,D,90,0,0,0,0,21,0,15,0,1,1,0,0,6,4,1,0,1,lost,5-1,5.9,1115.0,Scotland,2024
0,away,R. Porteous,D,45,0,0,0,0,21,0,16,0,2,0,0,0,5,3,0,0,1,lost,5-1,5.2,44836.0,Scotland,2024
0,away,J. Hendry,D,90,0,0,0,0,26,0,23,0,0,1,0,0,4,1,0,0,0,lost,5-1,5.9,1111.0,Scotland,2024
0,away,K. Tierney,D,77,0,0,0,0,41,0,30,0,2,0,0,0,3,3,0,0,0,lost,5-1,6.2,1117.0,Scotland,2024
0,away,A. Robertson,D,90,0,0,0,0,27,0,23,0,3,0,1,0,8,6,3,2,0,lost,5-1,6,289.0,Scotland,2024
0,away,J. McGinn,M,67,0,0,0,0,11,0,8,0,0,0,1,0,8,2,2,1,0,lost,5-1,6,19191.0,Scotland,2024
0,away,S. McTominay,M,90,0,0,0,0,17,0,12,0,3,1,2,0,11,7,2,1,0,lost,5-1,6.6,903.0,Scotland,2024
0,away,C. McGregor,M,67,0,0,0,0,16,0,13,0,0,1,1,0,5,1,0,0,0,lost,5-1,6.2,1129.0,Scotland,2024
0,away,R. Christie,M,82,0,0,0,0,11,0,8,0,0,0,0,0,12,7,1,1,0,lost,5-1,6.2,1125.0,Scotland,2024
0,away,C. Adams,F,45,0,0,0,0,9,0,8,0,0,0,1,0,3,1,0,0,0,lost,5-1,6.5,19524.0,Scotland,2024
0,away,G. Hanley,D,45,0,0,0,0,5,0,4,0,1,1,0,0,3,2,0,0,0,lost,5-1,6.5,19066.0,Scotland,2024
0,away,K. McLean,M,23,0,0,0,0,7,0,5,0,1,0,0,0,4,2,0,0,0,lost,5-1,6.2,19077.0,Scotland,2024
0,away,B. Gilmour,M,23,0,0,0,0,8,0,7,0,0,0,0,0,1,0,0,0,0,lost,5-1,6.3,130423.0,Scotland,2024
0,away,S. McKenna,D,13,1,0,0,0,5,0,4,0,1,0,0,0,1,1,0,0,0,lost,5-1,6.9,44811.0,Scotland,2024
0,away,L. Shankland,F,8,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,lost,5-1,6.3,45175.0,Scotland,2024
0,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,5-1,0,,Scotland,2024
0,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost,5-1,0,,Scotland,2024
