match_nr,home/away,player_name,player_position,minutes_played,attempted_shots,shots_on_goal,goals,assists,total_passes,key_passes,pass_completion,saves,tackles,blocks,interceptions,conceded_goals,total_duels,won_duels,attempted_dribbles,successful_dribbles,cards,game_won,game_result,rating
0,home,Hugo Lloris,G,90,0,0,0,0,25,0,16,1,0,0,0,3,0,0,0,0,0,won,4-3,5.9
0,home,Benjamin Pavard,D,90,1,1,1,0,23,0,22,0,3,1,0,0,9,5,0,0,1,won,4-3,7
0,home,Raphaël Varane,D,90,0,0,0,0,36,0,33,0,0,2,0,0,1,1,1,1,0,won,4-3,6.7
0,home,Samuel Umtiti,D,90,0,0,0,0,44,0,40,0,1,0,2,0,5,4,1,1,0,won,4-3,6.5
0,home,Lucas Hernández,D,90,0,0,0,1,15,2,11,0,5,0,1,0,15,7,2,0,0,won,4-3,6.2
0,home,Paul Pogba,M,90,1,0,0,0,44,1,35,0,2,0,2,0,17,9,2,2,0,won,4-3,7
0,home,N'Golo Kanté,M,90,0,0,0,0,54,0,48,0,3,1,3,0,12,8,2,2,0,won,4-3,7.2
0,home,Kylian Mbappé,M,89,2,2,2,0,25,0,17,0,1,0,2,0,16,12,10,7,0,won,4-3,9.2
0,home,Antoine Griezmann,M,83,3,1,1,0,21,0,16,0,1,0,0,0,10,4,1,1,0,won,4-3,6.9
0,home,Blaise Matuidi,M,75,0,0,0,0,25,0,22,0,2,0,2,0,10,2,1,0,1,won,4-3,6.3
0,home,Olivier Giroud,F,90,1,0,0,1,17,1,11,0,1,0,0,0,15,2,0,0,1,won,4-3,7
0,home,Corentin Tolisso,M,15,0,0,0,0,10,0,6,0,1,0,0,0,5,2,0,0,0,won,4-3,6.2
0,home,Florian Thauvin,M,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,won,4-3,0
0,home,Nabil Fekir,F,7,0,0,0,0,4,0,2,0,0,0,0,0,2,1,0,0,0,won,4-3,6.3
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,4-3,0
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,4-3,0
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,4-3,0
0,home,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,4-3,0
