match_nr,home/away,player_name,player_position,minutes_played,attempted_shots,shots_on_goal,goals,assists,totat_passes,key_passes,pass_completion,saves,tackles,blocks,interceptions,conceded_goals,total_duels,won_duels,attempted_dribbles,successful_dribbles,cards,game_won,game_result,rating,id,team,season
0,away,G. Di Lorenzo,D,45,0,0,0,0,22,0,20,0,0,0,0,0,3,1,0,0,0,won,0-3,6.7,31042.0,Italy,2020
0,away,F. Chiesa,F,9,0,0,0,0,1,0,1,0,0,0,0,0,2,2,1,1,0,won,0-3,6.6,30410.0,Italy,2020
0,away,B. Cristante,M,16,0,0,0,0,12,0,10,0,0,0,0,0,0,0,0,0,0,won,0-3,6.3,778.0,Italy,2020
0,away,A. Belotti,F,9,0,0,0,0,3,0,3,0,0,0,0,0,3,1,1,0,0,won,0-3,6.2,30509.0,Italy,2020
0,away,F. Bernardeschi,F,9,0,0,0,0,4,0,3,0,0,0,0,0,1,1,0,0,0,won,0-3,6.6,873.0,Italy,2020
0,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,0-3,0,,Italy,2020
0,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,0-3,0,,Italy,2020
0,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,0-3,0,,Italy,2020
0,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,0-3,0,,Italy,2020
0,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,0-3,0,,Italy,2020
0,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,0-3,0,,Italy,2020
0,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,0-3,0,,Italy,2020
0,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,0-3,0,,Italy,2020
0,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,0-3,0,,Italy,2020
0,away,puffer_player,puffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,won,0-3,0,,Italy,2020
1,home,D. Ward,G,90,0,0,0,0,23,0,17,3,0,0,0,1,0,0,0,0,0,draw,1-1,7,18146.0,Wales,2020
1,home,C. Roberts,D,90,0,0,0,0,25,0,20,0,1,1,0,0,3,2,0,0,0,draw,1-1,6.6,19331.0,Wales,2020
1,home,C. Mepham,D,90,0,0,0,0,23,0,18,0,3,2,1,0,11,7,0,0,0,draw,1-1,7.2,18866.0,Wales,2020
